1,21
2,12
3,1
4,11
5,32
6,10
7,10
8,6
9,11
10,25
11,21
12,11
13,17
14,44
15,10
16,43
17,25
18,47
19,48
20,18
21,30
22,15
23,2
24,4
25,44
26,35
27,37
28,8
29,40
30,3
31,48
32,9
33,37
34,30
35,42
36,30
37,42
38,14
39,20
40,33
41,11
42,6
43,22
44,11
45,46
46,41
47,24
48,18
49,46
50,37
51,34
52,11
53,7
54,36
55,6
56,25
57,4
58,42
59,42
60,33
61,10
62,13
63,16
64,31
65,33
66,4
67,41
68,21
69,38
70,2
71,24
72,28
73,2
74,39
75,21
76,39
77,27
78,19
79,48
80,38
81,24
82,49
83,8
84,35
85,48
86,33
87,37
88,5
89,16
90,38
91,26
92,27
93,38
94,9
95,22
96,28
97,7
98,30
99,0
100,9
101,5
102,39
103,14
104,35
105,23
106,44
107,43
108,38
109,31
110,25
111,49
112,23
113,3
114,4
115,25
116,10
117,40
118,33
119,24
120,49
121,31
122,13
123,20
124,32
125,45
126,0
127,43
128,44
129,46
130,25
131,4
132,30
133,10
134,25
135,3
136,17
137,24
138,4
139,50
140,12
141,22
142,40
143,43
144,13
145,48
146,6
147,23
148,8
149,9
150,32
151,17
152,42
153,50
154,40
155,25
156,25
157,17
158,19
159,21
160,11
161,33
162,4
163,6
164,31
165,48
166,27
167,48
168,41
169,22
170,10
171,17
172,8
173,23
174,26
175,17
176,3
177,20
178,12
179,5
180,6
181,7
182,22
183,27
184,2
185,47
186,22
187,33
188,17
189,46
190,32
191,28
192,13
193,19
194,31
195,20
196,13
197,30
198,33
199,17
200,35
201,10
202,29
203,26
204,20
205,27
206,25
207,28
208,35
209,31
210,14
211,15
212,28
213,48
214,46
215,9
216,25
217,32
218,24
219,25
220,22
221,14
222,12
223,12
224,7
225,31
226,37
227,37
228,26
229,16
230,21
231,11
232,41
233,34
234,20
235,35
236,12
237,7
238,33
239,27
240,33
241,10
242,42
243,28
244,27
245,43
246,10
247,28
248,2
249,36
250,31
251,19
252,9
253,32
254,0
255,40
256,2
257,45
258,50
259,4
260,25
261,44
262,21
263,20
264,27
265,33
266,5
267,12
268,2
269,9
270,3
271,10
272,17
273,22
274,24
275,21
276,34
277,2
278,8
279,6
280,37
281,2
282,28
283,0
284,28
285,24
286,43
287,35
288,3
289,35
290,50
291,34
292,7
293,10
294,27
295,26
296,50
297,15
298,35
299,26
300,48
301,44
302,9
303,0
304,4
305,7
306,31
307,12
308,25
309,9
310,48
311,25
312,3
313,11
314,48
315,29
316,5
317,39
318,24
319,11
320,1
321,47
322,41
323,10
324,50
325,0
326,13
327,41
328,47
329,1
330,12
331,41
332,13
333,28
334,20
335,31
336,27
337,17
338,35
339,24
340,2
341,43
342,8
343,20
344,29
345,18
346,35
347,1
348,8
349,43
350,11
351,41
352,44
353,34
354,36
355,35
356,1
357,6
358,8
359,30
360,21
361,12
362,48
363,4
364,26
365,22
366,5
367,37
368,34
369,28
370,9
371,17
372,9
373,13
374,9
375,24
376,8
377,21
378,13
379,18
380,33
381,39
382,16
383,50
384,24
385,21
386,43
387,19
388,39
389,2
390,8
391,10
392,0
393,5
394,19
395,32
396,14
397,14
398,11
399,23
400,34
401,40
402,31
403,29
404,32
405,22
406,6
407,40
408,18
409,46
410,5
411,24
412,41
413,13
414,14
415,42
416,46
417,48
418,19
419,9
420,34
421,6
422,36
423,47
424,47
425,0
426,28
427,16
428,17
429,12
430,2
431,21
432,18
433,43
434,18
435,5
436,46
437,25
438,11
439,16
440,50
441,11
442,39
443,27
444,50
445,35
446,34
447,35
448,20
449,41
450,16
451,16
452,43
453,42
454,4
455,11
456,46
457,30
458,34
459,9
460,1
461,18
462,15
463,39
464,18
465,43
466,43
467,39
468,37
469,11
470,27
471,26
472,21
473,36
474,27
475,41
476,9
477,25
478,1
479,28
480,7
481,33
482,18
483,42
484,24
485,31
486,12
487,39
488,40
489,24
490,7
491,36
492,32
493,21
494,18
495,33
496,44
497,3
498,8
499,21
500,18
501,35
502,30
503,2
504,24
505,34
506,35
507,3
508,23
509,31
510,27
511,35
512,37
513,37
514,22
